年月,總計,占全體企業放款餘額之比率,占民營企業放款餘額之比率,中小企業放款平均逾放比,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)銀行,澳盛銀行,中華開發工業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)銀行,台新國際商業銀行,大眾商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,樂天銀行
93年7月,"2,158,864",,,,"101,196","99,665","167,907","244,161","184,354","171,691","56,544","37,491","52,925","2,097","5,859","55,246","32,033",,"1,463",210,"260,270","27,447","36,588","68,447",,,"5,593","14,659","14,146","8,061","3,358","21,852",836.36,"15,081","19,640","23,353","10,770",,"30,987","10,293","16,749","35,592","41,543",
93年8月,"2,188,739",,,,"102,120","103,817","169,362","247,214","191,707","172,547","57,218","36,944","52,889","2,137","6,480","57,282","31,723",,"2,416",200,"257,366","28,672","33,709","69,076",,,"5,370","14,679","14,143","8,153","3,193","22,112",819.08,"15,040","20,390","24,097","11,206",,"32,233","10,750","17,616","35,559","41,642",
93年9月,"2,208,660",,,,"103,329","104,775","173,120","244,711","194,369","176,329","58,801","37,272","53,729","2,214","6,455","57,664","32,071",,"2,303",213.5,"260,109","29,388","30,989","70,157",,,"5,576","14,542","14,404","8,330","3,050","22,271",739.66,"15,570","21,860","26,611","11,819",,"32,480","11,767","17,873","34,977","41,956",
93年10月,"2,173,846",,,,"104,265","104,941","174,370","241,618","194,556","159,592","56,255","36,721","53,483","2,229","6,670","58,115","31,852",,"2,183",216.5,"253,824","29,960","31,739","70,330",,,"5,541","14,555","14,864","8,625","3,081","22,637",643.24,"15,801","22,345","25,606","12,359",,"14,581","10,789","18,445","35,702","42,991",
93年11月,"2,228,520",,,,"104,920","107,864","179,724","243,125","200,060","170,620","57,534","36,361","55,514","2,101","6,705","62,980","32,018",,"2,258",356.14,"253,795","31,108","33,205","72,744",,,"5,626","14,633","15,142","9,084","3,144","23,163",720.55,"15,860","23,450","26,419","13,074",,"15,911","11,045","19,014","37,137","45,742",
93年12月,"2,252,368",37.31%,40.16%,,"104,940","105,916","180,842","242,694","203,072","163,918","59,611","36,443","55,462","2,121","6,937","66,065","30,879",,"2,259",409.09,"253,702","33,240","33,729","74,779",,,"6,051","14,983","16,065","9,117","3,223","23,280","1,197","16,920","24,449","26,339","13,564",,"18,488","10,405","18,859","39,667","46,714",
94年12月,"2,534,824",39.33%,42.68%,,"117,998","130,565","214,106","258,246","223,840","158,752","60,091","58,655","61,680","2,501","13,527","85,231","35,602",,"2,807",708,"235,206","47,785","39,985","74,502",,,"8,125","22,659","23,285","11,502","5,619","27,723","5,280","29,946","31,915","49,506","19,267",,"33,838","10,980","23,674","58,646","56,782",
95年12月,"2,745,044",39.87%,43.18%,,"135,851","150,983","304,274","303,692","255,850","198,678","62,704","72,237","63,504","3,806","20,378","158,071","34,932",,"3,672","4,163","237,496","40,096","51,565","28,185",,,"11,260","22,490","27,287","19,529","8,236","30,925","8,907","33,374","77,041","72,533","29,530",,"20,283","11,438","21,510","68,463","62,150",
96年1月,"2,711,679",,,,"133,466","149,527","301,609","290,390","254,694","199,474","61,537","72,306","68,632","3,710","21,371","157,086","34,373",,"3,836","4,193","226,263","41,188","53,843","27,247",,,"13,172","21,970","28,148","21,350","8,878","30,845","9,389","33,600","75,428","76,634","30,969",,"19,362","11,501","20,284","63,192","62,715",
96年2月,"2,745,159",,,,"135,224","152,402","304,634","290,143","254,659","203,507","62,759","71,703","68,963","3,665","22,089","160,610","35,043",,"4,055","4,289","230,040","40,863","54,736","26,859",,,"13,242","21,927","27,615","21,525","9,130","31,946","9,516","34,574","74,748","81,282","31,906",,"22,811","11,465","20,072","65,023","64,049",
96年3月,"2,755,433",,,,"141,227","152,738","303,503","291,551","253,895","206,301","63,019","71,759","71,190","3,692","21,879","163,052","34,512",,"4,215","4,272","237,034","39,608","55,177","26,069",,,"12,424","21,948","27,837","20,265","9,130","31,804","9,426","34,793","71,144","86,826","33,332",,"19,132","10,942","18,814","64,444","62,922",
96年4月,"2,792,533",,,,"144,287","155,137","309,190","295,115","255,568","207,561","64,047","72,605","75,757","3,670","21,640","168,208","34,399",,"3,712","4,203","237,694","39,169","57,066","31,956",,,"12,377","21,722","27,625","19,266","9,191","32,396","9,114","34,755","72,574","89,552","34,189",,"18,628","11,280","18,223","64,939","63,123",
96年5月,"2,837,084",,,,"148,534","159,386","312,927","304,096","260,582","208,892","64,385","72,812","76,376","3,726","22,426","171,565","34,243",,"3,731","4,214","244,987","38,026","58,469","32,299",,,"12,377","22,059","27,914","17,872","9,192","34,376","9,472","35,065","72,441","91,877","35,064",,"19,410","11,037","17,556","67,636","62,640",
96年6月,"2,893,791",40.99%,,,"152,662","161,258","315,213","313,531","267,056","210,717","65,044","73,502","77,426","3,683","23,333","175,820","33,725",,"3,726","3,794","256,151","35,618","64,689","32,778",,,"12,886","23,105","29,059","16,763","9,186","32,674","10,557","37,008","73,014","99,835","35,328",,"20,373","11,260","17,874","67,466","62,359",
96年7月,"2,886,567",,,,"160,530","162,361","318,070","310,728","264,499","211,679","68,926","73,821","76,536","3,994","22,094","175,068","33,614",,"3,964","3,594","249,173","33,834","63,545","29,517",,"1,695","12,496","22,965","28,781","17,149","8,985","32,701","11,651","37,313","74,725","101,274","35,391",,"21,512","10,114","17,141","67,223","61,097",
96年8月,"2,917,237",,,,"165,221","162,579","334,213","310,577","268,462","211,977","65,248","77,347","77,978","4,039","21,778","176,199","32,683",,"3,973","3,609","254,596","34,918","64,675","28,641",,"1,730","12,606","22,986","27,987","16,586","8,801","32,790","11,874","39,488","74,836","102,460","35,124",,"21,213","13,457","16,322","65,753","60,694",
96年9月,"2,919,811",,,,"173,388","164,072","334,337","309,954","269,029","210,577","64,372","79,538","76,292","4,124","21,679","177,929","32,143",,"3,966","3,543","261,691","33,088","64,834","28,853",,"1,746","12,857","22,845","27,469","17,018","8,843","32,603","11,889","38,884","76,908","106,342","32,691",,"20,595","9,607","16,032","64,233","61,444",
96年10月,"2,923,551",,,,"174,211","165,963","334,485","314,246","272,027","211,651","63,809","80,341","75,280","4,111","20,135","183,143","31,018",,"3,909","3,638","260,934","33,476","64,804","29,017",,"1,741","13,069","23,138","26,724","17,066","8,738","31,849","11,819","39,206","74,811","107,064","30,250",,"19,905","9,210","15,112","63,265","62,555",
96年11月,"2,954,341",,,,"181,175","171,297","338,876","317,850","272,558","213,936","65,119","82,541","75,683","4,446","20,504","187,262","30,043",,"3,754","3,657","266,784","31,655","65,449","28,906",,"2,087","14,026","24,633","25,362","17,059","8,884","31,758","11,698","39,257","73,343","108,571","29,302",,"20,588","8,883","14,605","61,506","61,421",
96年12月,"3,004,916",41.40%,45.09%,,"185,080","177,144","343,144","328,298","274,823","215,675","66,623","85,643","75,561","4,584","20,742","190,465","27,203",,"3,688","3,633","280,102","30,580","66,156","29,339",,"2,095","14,860","27,016","24,977","15,352","8,997","32,675","11,345","40,380","72,765","113,777","27,043",,"21,024","9,107","14,369","60,619","62,051",
97年1月,"3,023,604",,,,"201,774","182,036","346,473","324,669","273,743","214,084","66,202","80,560","77,076","4,566","21,643","196,824","26,449",,"4,273","3,656","279,411","29,686","66,065","29,249",,"1,765","15,125","27,775","24,780","14,712","9,161","31,629","11,594","39,789","71,463","117,440","25,244",,"21,272","9,495","13,478","59,093","63,376",
97年2月,"3,022,329",,,,"203,449","183,370","346,766","321,971","274,658","211,887","66,794","79,808","77,189","4,329","21,848","199,604","26,330",,"4,217","3,646","279,908","29,564","66,371","29,696",,"2,003","15,296","28,943","24,432","14,390","9,171","31,907","11,133","40,272","70,769","118,342","25,711",,"21,196","9,980","12,936","58,588","63,078",
97年3月,"3,048,084",,,,"207,590","181,665","352,393","323,054","276,392","211,589","67,602","78,670","78,833","4,236","21,917","201,942","26,118",429,"3,866","4,182","287,054","27,545","69,170","29,732","17,740","2,067","15,525","29,411","24,516","13,880","9,383","31,529","11,157","40,738","70,272","119,386","26,036",,"20,558","9,584","12,586","58,385","60,872",
97年4月,"3,055,277",,,,"205,994","183,962","353,470","323,012","280,471","211,588","67,492","83,106","78,999","4,066","22,649","197,434","25,498",410,"3,824","4,097","289,947","27,482","70,990","28,201","17,807","2,122","16,209","28,616","24,458","14,033","9,443","30,831","10,929","40,910","70,758","123,099","25,194",,"20,379","8,412","12,206","55,462","62,862",
97年5月,"3,103,584",,,,"209,087","182,877","357,622","330,851","287,523","213,975","67,578","79,439","77,064","4,043","24,277","204,661","24,787",395.37,"3,474","4,088","293,416","27,709","72,819","27,242","17,742","1,981","16,311","29,364","24,941","15,454","8,755","30,091","10,956","42,902","75,902","131,807","25,264","9,486","21,073","8,820","12,252","55,598","63,934",
97年6月,"3,172,057",41.99%,,,"209,538","178,521","372,027","342,259","292,517","218,529","71,415","80,747","77,672","4,005","25,129","208,322","23,936",382,"2,145","3,733","308,534","26,992","73,311","27,223","17,894","1,709","14,730","29,777","24,251","16,786","8,952","28,601","10,729","43,825","78,148","138,984","25,327","9,024","19,696","8,939","12,805","58,374","68,801",
97年7月,"3,143,782",40.94%,44.63%,2.46%,"210,433","179,031","373,939","331,565","293,405","221,732","73,101","80,247","81,052","4,086","25,575","207,202","21,516",649,"2,112","3,664","294,202","26,326","73,160","26,599","16,413","1,749","15,765","30,323","23,548","16,577","9,016","25,186","10,591","44,609","76,118","131,720","24,805","8,609","19,191","8,777","12,317","59,673","72,119",
97年8月,"3,139,405",40.39%,44.30%,2.45%,"210,105","180,835","374,687","334,657","293,542","223,185","72,176","80,952","82,807","4,105","25,500","205,564","20,147",623,"1,926","3,645","291,436","26,297","73,129","25,217","17,489","1,783","16,944","30,501","23,206","15,969","9,039","24,629","10,176","44,627","77,026","131,203","25,284","8,401","15,576","9,029","11,878","57,657","71,796",
97年9月,"3,161,624",39.99%,43.86%,2.44%,"213,154","184,155","378,700","340,325","300,068","222,658","73,149","82,841","82,423","4,112","25,850","204,281","19,223",567,"1,947","3,642","294,955","25,819","72,983","24,505","17,472","1,771","16,692","30,248","23,288","14,198","9,196","24,920","9,670","44,223","77,108","131,215","25,362","6,861","14,877","8,707","11,000","60,882","72,280",
97年10月,"3,165,994",39.66%,43.59%,2.48%,"215,397","184,812","380,540","341,853","298,696","224,404","74,315","85,131","82,190","4,247","26,191","205,437","17,836",737.13489,"1,977","3,642","296,575","24,924","73,193","23,710","16,561","1,771","16,487","30,784","22,897","14,182","8,954","24,928","9,508","44,893","78,384","125,634","24,737","6,917","13,393","7,505","10,829","60,903","75,208",
97年11月,"3,135,086",39.64%,43.63%,2.50%,"221,893","188,224","376,184","338,452","292,855","222,340","73,574","83,029","80,716","4,193","26,220","200,365","15,785",739.47,"1,991","3,631","296,975","24,147","73,728","23,254","12,108","1,632","16,775","31,343","22,753","13,741","9,364","25,276","9,272","44,209","75,470","118,954","24,400","6,734","13,445","6,856","10,626","61,080","77,250",
97年12月,"3,137,640",40.51%,44.33%,2.41%,"221,015","190,275","380,556","341,462","300,046","225,241","74,059","80,627","82,689","4,115","25,963","194,085","13,267",604.36,"2,554","3,488","308,988","23,434","74,378","22,516","11,820","1,540","16,147","30,786","22,851","14,171","9,334","25,406","8,823","44,207","71,379","118,322","23,644","6,467","12,638","6,819","9,747","54,220","74,686",
98年1月,"3,080,084",40.35%,44.43%,2.56%,"217,474","189,038","381,227","327,960","291,654","216,539","72,642","79,877","83,055","4,335","24,982","191,175","12,193",579.97,"2,558","3,472","297,894","22,434","72,661","22,593","11,244","1,674","16,272","34,456","22,589","15,205","9,106","24,401","8,408","43,162","69,714","113,744","23,212","5,942","12,367","6,476","9,812","54,839","78,124",
98年2月,"3,042,190",40.74%,44.70%,2.74%,"217,018","189,374","381,591","321,545","277,375","210,832","71,105","77,412","81,679","4,408","24,450","198,784","10,467",576.3,"2,482","3,086","292,867","21,749","71,314","23,237","11,334","1,717","16,343","33,774","22,284","15,889","8,933","23,810","8,907","42,365","67,099","115,165","22,355","6,203","12,214","6,241","9,089","56,039","76,371",
98年3月,"3,022,825",40.64%,44.51%,2.71%,"218,035","188,513","381,475","323,443","279,357","211,659","69,814","74,651","81,672","4,369","23,844","195,815","9,045",380,"2,453","2,940","293,066","15,943","69,763","22,658","13,557","1,986","17,494","33,586","21,832","16,064","9,053","22,925","8,821","39,063","67,283","116,192","21,207","6,118","11,874","5,632","8,582","53,312","74,856",
98年4月,"2,997,196",40.74%,44.71%,2.81%,"215,365","191,784","382,288","316,771","273,226","213,205","69,045","73,437","81,237","4,333","23,819","196,162","8,313",293,"2,434","2,741","288,432","15,179","70,132","22,810","12,634","1,902","17,497","33,734","21,037","16,044","9,081","22,556","8,775","38,815","67,631","114,251","20,309","6,103","11,991","5,077","8,276","53,505","72,734",
98年5月,"2,980,352",40.56%,44.57%,2.80%,"215,103","191,379","383,010","315,210","270,163","211,922","70,569","75,158","80,900","4,248","23,479","197,065","8,108",930,"2,440","2,526","287,141","14,656","70,218","22,982","9,142","1,888","17,955","33,510","20,936","16,891","9,288","21,638","8,732","37,899","67,468","113,556","19,554","6,350","11,539","5,068","7,605","51,208","68,851",
98年6月,"3,056,083",41.16%,45.22%,2.74%,"220,651","203,491","383,604","324,591","271,616","226,762","75,370","73,707","79,675","4,222","24,248","201,439","7,392",809,"2,397","2,484","306,766","15,071","71,102","24,502","8,539","1,596","18,155","33,098","21,954","17,332","9,161","21,109","9,078","37,659","72,445","117,212","18,788","6,667","10,844","4,770","7,143","50,315","66,659",
98年7月,"2,999,370",40.87%,45.20%,2.68%,"216,321","204,930","383,189","316,976","270,203","213,433","72,635","72,790","78,110","4,367","22,872","201,597","7,760",720,"2,351","2,519","289,149","14,983","71,512","23,722","7,754","1,484","18,290","33,374","21,652","18,914","9,035","20,855","8,337","37,855","73,280","113,040","18,246","6,707","11,383","4,321","6,845","48,079","66,430",
98年8月,"3,002,911",40.71%,44.94%,2.64%,"217,753","201,754","387,246","323,602","271,042","213,648","73,016","71,069","76,741","4,351","24,128","200,429","7,837",795,"2,702","2,512","289,258","14,991","72,033","23,325","6,743","1,508","18,138","34,714","21,081","18,654","9,119","20,204","9,426","39,197","71,215","112,320","17,847","7,296","12,038","4,729","6,769","46,265","64,252",
98年9月,"3,071,069",41.49%,45.63%,2.49%,"231,228","213,421","393,112","331,754","277,671","224,013","74,259","72,384","75,870","4,373","26,004","204,003","7,787",984,"2,325","2,432","295,269","16,753","71,831","23,772","6,342","1,503","18,504","30,969","21,316","18,464","9,550","20,178","9,452","40,450","72,651","111,879","17,283","8,076","11,957","4,706","6,454","46,790","62,334",
98年10月,"3,088,017",41.87%,45.91%,2.40%,"231,425","217,823","394,640","336,416","279,763","222,220","81,189","73,177","70,460","4,460","27,109","203,542","7,205","1,357","2,222","2,336","291,253","18,817","71,876","23,293","5,860","1,513","19,137","32,097","22,571","17,416","9,585","20,514","9,330","40,724","74,517","112,635","16,876","8,893","12,088","4,743","6,871","47,175","62,362",
98年11月,"3,120,298",42.25%,46.35%,2.25%,"231,068","220,479","396,216","342,777","281,869","222,834","83,772","72,306","72,331","4,494","26,620","208,638","6,882","1,200","2,204","2,339","292,164","18,764","74,069","23,040","5,448","1,549","17,858","32,063","22,085","17,903","10,089","20,402","9,701","40,784","81,828","113,252","16,590","9,307","16,238","4,736","7,162","45,497","61,337",
98年12月,"3,204,364",42.66%,46.82%,2.02%,"228,994","220,035","400,424","356,969","294,865","229,127","86,520","68,145","75,180","4,416","27,017","217,107","6,969","1,086","2,210","2,319","313,882","20,961","75,497","23,051","4,260","1,610","17,949","32,412","23,651","18,413","10,133","21,319","10,102","41,240","82,811","113,457","16,376","10,082","27,962","4,941","10,358","43,428","56,795",
99年1月,"3,147,686",42.62%,46.82%,2.01%,"223,032","217,398","398,519","355,047","278,303","218,583","82,508","67,174","74,409","4,645","27,188","208,823","7,052",986,"2,184","2,288","296,116","21,254","75,381","21,171","3,683","1,602","18,499","32,858","23,121","18,462","10,043","22,376","9,338","41,662","83,687","115,295","15,694","10,246","35,766","5,660","10,230","44,114","61,087",
99年2月,"3,166,028",42.56%,46.79%,1.95%,"222,528","220,511","400,251","362,222","278,813","218,563","81,342","67,659","75,096","4,702","27,321","211,851","6,755",882,"2,184","2,284","297,604","21,910","76,691","21,113","3,611","1,646","18,301","32,200","23,236","17,818","10,218","21,308","9,096","41,423","83,364","117,686","15,545","10,858","36,157","5,413","10,095","44,045","61,591",
99年3月,"3,211,127",43.12%,47.22%,1.81%,"222,360","220,203","400,856","378,718","281,042","218,756","82,131","68,307","76,391","5,390","28,189","211,672","6,302",785,"2,063","2,499","303,351","22,031","78,009","20,603","6,482","1,679","18,193","32,140","23,567","17,405","10,418","21,771","9,288","43,035","87,160","120,673","15,460","11,347","36,906","5,368","10,559","49,257","58,715",
99年4月,"3,248,813",43.13%,47.41%,1.67%,"224,977","223,345","402,414","377,721","283,970","220,806","84,925","69,627","83,834","5,588","29,028","213,015","6,743","1,052","1,754","2,434","306,095","22,634","77,981","20,886","7,612","1,698","20,148","33,047","23,202","17,418","10,765","21,699","10,377","44,887","87,457","122,000","15,649","11,986","38,399","5,564","10,541","47,375","60,160",
99年5月,"3,305,457",43.04%,47.32%,1.51%,"226,558","224,355","411,184","389,700","283,649","222,529","86,995","71,337","87,321","5,919","30,574","218,029","7,000",950,"1,252","3,219","310,139","21,750","80,414","19,831","7,644","1,753","20,105","33,629","23,447","17,072","10,945","22,219","10,156","45,360","87,959","124,606","15,970","12,400","42,554","5,928","10,897","48,202","61,906",
99年6月,"3,370,352",43.50%,47.84%,1.41%,"228,229","231,012","414,451","400,331","289,566","226,546","91,037","73,033","87,250","6,135","30,848","223,912","7,842",850,"2,596","3,168","320,993","22,554","81,656","18,974","7,863","1,778","21,683","34,402","24,174","17,517","10,859","22,916","11,177","45,775","90,199","124,598","16,253","14,615","41,524","5,784","9,297","47,602","61,353",
99年7月,"3,388,811",43.69%,48.13%,1.35%,"224,619","233,342","416,225","410,641","288,989","231,397","89,637","71,178","87,666","6,299","30,683","223,362","7,491","1,052","2,652","3,254","322,549","22,933","82,344","18,734","7,384","1,618","21,925","35,113","23,409","17,907","10,992","23,527","9,564","47,993","88,954","126,242","16,238","15,021","42,903","4,915","10,001","47,243","62,815",
99年8月,"3,439,895",43.71%,48.05%,1.30%,"223,859","236,568","421,800","420,900","289,037","236,955","94,749","71,512","88,030","6,342","30,967","225,164","7,508","1,459","1,906","4,334","324,395","23,774","82,591","19,260","7,870","1,648","22,133","35,631","23,728","20,663","11,121","23,993","9,620","50,610","89,946","130,565","16,481","14,931","41,296","5,173","10,481","48,171","64,724",
99年9月,"3,487,943",44.29%,48.76%,1.22%,"227,798","241,990","428,047","427,140","290,726","243,282","99,014","71,896","88,389","6,292","32,173","228,893","8,016","1,371","1,781","3,547","327,339","24,243","83,186","18,898","8,082","1,656","22,750","38,227","24,365","21,368","11,262","25,312","9,727","51,473","89,770","131,230","16,398","15,259","40,005","4,874","10,075","47,823","64,266",
99年10月,"3,509,706",44.09%,48.65%,1.20%,"226,992","243,335","428,458","435,035","288,631","241,832","103,599","73,031","90,091","6,468","32,294","230,561","7,818",418,"1,831","3,651","329,382","24,973","84,025","19,035","8,278","1,665","23,222","41,022","25,515","21,512","11,259","24,971","9,493","52,637","87,997","132,235","16,340","14,898","41,265","5,173","10,075","45,430","65,259",
